idx,result,time_s,max_depth,avg_depth,mincheck_calls,mincheck_time_s,added_clauses
1460,UNSAT,554.831125,290,173.492652,97338,17.9270,1604
1461,ERROR,,,,,,
1462,TIMEOUT,,,,,,
1463,TIMEOUT,,,,,,
1464,TIMEOUT,,,,,,
1465,UNSAT,1.249848,126,72.385135,5,0.0006,4
1466,TIMEOUT,,,,,,
1467,TIMEOUT,,,,,,
1468,UNSAT,1.505947,125,72.020408,5,0.0005,5
1469,TIMEOUT,,,,,,
146,UNSAT,,,,,,
1470,TIMEOUT,,,,,,
1471,TIMEOUT,,,,,,
1472,TIMEOUT,,,,,,
1473,TIMEOUT,,,,,,
1474,TIMEOUT,,,,,,
1475,UNSAT,1.781580,125,72.020408,5,0.0004,5
1476,TIMEOUT,,,,,,
1477,TIMEOUT,,,,,,
1478,ERROR,,,,,,
1479,UNSAT,1.666222,125,72.020408,5,0.0005,5
147,UNSAT,,,,,,
1480,TIMEOUT,,,,,,
1481,TIMEOUT,,,,,,
1482,TIMEOUT,,,,,,
1483,UNSAT,3412.889606,364,149.994170,496673,98.2968,81728
1484,TIMEOUT,,,,,,
1485,TIMEOUT,,,,,,
1486,UNSAT,1.834908,118,62.512195,4,0.0005,4
1487,TIMEOUT,,,,,,
1488,UNSAT,2144.089127,302,124.149467,289756,59.1118,101749
1489,TIMEOUT,,,,,,
148,UNSAT,,,,,,
1490,TIMEOUT,,,,,,
1491,TIMEOUT,,,,,,
1492,TIMEOUT,,,,,,
1493,TIMEOUT,,,,,,
1494,TIMEOUT,,,,,,
1495,TIMEOUT,,,,,,
1496,TIMEOUT,,,,,,
1497,TIMEOUT,,,,,,
1498,TIMEOUT,,,,,,
1499,TIMEOUT,,,,,,
149,UNSAT,,,,,,
14,UNSAT,,,,,,
1500,TIMEOUT,,,,,,
1501,TIMEOUT,,,,,,
1502,TIMEOUT,,,,,,
1503,TIMEOUT,,,,,,
1504,TIMEOUT,,,,,,
1505,TIMEOUT,,,,,,
1506,TIMEOUT,,,,,,
1507,TIMEOUT,,,,,,
1508,TIMEOUT,,,,,,
1509,TIMEOUT,,,,,,
150,UNSAT,,,,,,
1510,TIMEOUT,,,,,,
1511,TIMEOUT,,,,,,
1512,TIMEOUT,,,,,,
1513,TIMEOUT,,,,,,
1514,TIMEOUT,,,,,,
1515,TIMEOUT,,,,,,
1516,TIMEOUT,,,,,,
1517,TIMEOUT,,,,,,
1518,TIMEOUT,,,,,,
1519,TIMEOUT,,,,,,
151,UNSAT,,,,,,
1520,TIMEOUT,,,,,,
1521,TIMEOUT,,,,,,
1522,TIMEOUT,,,,,,
1523,TIMEOUT,,,,,,
1524,TIMEOUT,,,,,,
1525,TIMEOUT,,,,,,
1526,TIMEOUT,,,,,,
1527,TIMEOUT,,,,,,
1528,TIMEOUT,,,,,,
1529,TIMEOUT,,,,,,
152,UNSAT,,,,,,
1530,TIMEOUT,,,,,,
1531,TIMEOUT,,,,,,
1532,TIMEOUT,,,,,,
1533,TIMEOUT,,,,,,
1534,TIMEOUT,,,,,,
1535,TIMEOUT,,,,,,
1536,TIMEOUT,,,,,,
1537,TIMEOUT,,,,,,
1538,TIMEOUT,,,,,,
1539,TIMEOUT,,,,,,
153,UNSAT,,,,,,
1540,TIMEOUT,,,,,,
1541,TIMEOUT,,,,,,
1542,TIMEOUT,,,,,,
1543,TIMEOUT,,,,,,
1544,TIMEOUT,,,,,,
1545,TIMEOUT,,,,,,
1546,TIMEOUT,,,,,,
1547,TIMEOUT,,,,,,
1548,TIMEOUT,,,,,,
1549,TIMEOUT,,,,,,
154,UNSAT,,,,,,
1550,TIMEOUT,,,,,,
1551,TIMEOUT,,,,,,
1552,TIMEOUT,,,,,,
1553,TIMEOUT,,,,,,
1554,TIMEOUT,,,,,,
1555,UNSAT,162.658111,289,134.412552,26109,4.6930,12821
1556,UNSAT,49.404629,266,135.969831,5318,0.8674,3484
1557,UNSAT,72.059442,279,134.539673,10120,1.7050,6845
1558,UNSAT,63.815394,274,137.385194,9802,1.5929,8180
1559,UNSAT,181.188370,306,130.185093,27640,4.7625,13538
155,UNSAT,,,,,,
1560,UNSAT,166.924633,282,130.509009,23781,4.2556,12379
1561,UNSAT,228.184429,268,128.045035,40776,7.0696,25271
1562,UNSAT,61.907179,258,134.031526,10339,1.6513,8108
